kappa,length_um,split_ratio
0.011794871794871795,30.79396984924623,0.12622210767275055
0.011794871794871795,31.04020100502513,0.1281574121907685
0.011794871794871795,31.286432160804022,0.13010526227756306
0.011794871794871795,31.532663316582916,0.13206559221476835
0.011794871794871795,31.77889447236181,0.13403833586296182
0.011794871794871795,32.02512562814071,0.13602342666389564
0.011794871794871795,32.2713567839196,0.13802079764274225
0.011794871794871795,32.517587939698494,0.1400303814103543
0.011794871794871795,32.76381909547739,0.1420521101655378
0.011794871794871795,33.01005025125628,0.14408591569734022
0.011794871794871795,33.256281407035175,0.14613172938735147
0.011794871794871795,33.50251256281407,0.1481894822120191
0.011794871794871795,33.74874371859297,0.15025910474497722
0.011794871794871795,33.99497487437186,0.1523405271593885
0.011794871794871795,34.24120603015076,0.15443367923030057
0.011794871794871795,34.48743718592965,0.156538490337015
0.011794871794871795,34.733668341708544,0.15865488946547
0.011794871794871795,34.97989949748744,0.1607828052106364
0.011794871794871795,35.22613065326633,0.16292216577892674
0.011794871794871795,35.472361809045225,0.16507289899061767
0.011794871794871795,35.718592964824126,0.1672349322822851
0.011794871794871795,35.96482412060302,0.169408192709252
0.011794871794871795,36.21105527638191,0.17159260694805045
0.011794871794871795,36.45728643216081,0.1737881012988946
0.011794871794871795,36.7035175879397,0.17599460168816758
0.011794871794871795,36.949748743718594,0.17821203367092064
0.011794871794871795,37.19597989949749,0.1804403224333849
0.011794871794871795,37.44221105527638,0.18267939279549528
0.011794871794871795,37.688442211055275,0.18492916921342722
0.011794871794871795,37.934673366834176,0.18718957578214546
0.011794871794871795,38.18090452261307,0.18946053623796455
0.011794871794871795,38.42713567839196,0.19174197396112255
0.011794871794871795,38.67336683417086,0.19403381197836586
0.011794871794871795,38.91959798994975,0.19633597296554584
0.011794871794871795,39.165829145728644,0.19864837925022816
0.011794871794871795,39.41206030150754,0.20097095281431313
0.011794871794871795,39.65829145728643,0.20330361529666796
0.011794871794871795,39.90452261306533,0.20564628799577087
0.011794871794871795,40.150753768844226,0.20799889187236556
0.011794871794871795,40.39698492462312,0.21036134755212907
0.011794871794871795,40.64321608040201,0.21273357532834897
0.011794871794871795,40.88944723618091,0.21511549516461276
0.011794871794871795,41.1356783919598,0.2175070266975083
